codec,case,input_bytes,max_compressed_bytes
asmp-019-public,empty,0,2
asmp-019-public,small,24,12
asmp-019-public,text,109,90
asmp-019-public,repeated,4096,53
asmp-019-public,period257,65536,950
asmp-019-public,binary,2048,1230
asmp-019-public,long-repeat,70000,650
asmp-019-public,high-literals,112,128
asmp-019-public,randomish,8192,8640
asmp-051-blocked-fixed,empty,0,2
asmp-051-blocked-fixed,small,24,10
asmp-051-blocked-fixed,text,109,83
asmp-051-blocked-fixed,repeated,4096,53
asmp-051-blocked-fixed,period257,65536,1250
asmp-051-blocked-fixed,binary,2048,1196
asmp-051-blocked-fixed,long-repeat,70000,650
asmp-051-blocked-fixed,high-literals,112,128
asmp-051-blocked-fixed,randomish,8192,8640
asmp-052-blocked-auto,empty,0,2
asmp-052-blocked-auto,small,24,10
asmp-052-blocked-auto,text,109,83
asmp-052-blocked-auto,repeated,4096,53
asmp-052-blocked-auto,period257,65536,1250
asmp-052-blocked-auto,binary,2048,1196
asmp-052-blocked-auto,long-repeat,70000,650
asmp-052-blocked-auto,high-literals,112,117
asmp-052-blocked-auto,randomish,8192,8197
asmp-053-blocked-dynamic-auto,empty,0,2
asmp-053-blocked-dynamic-auto,small,24,10
asmp-053-blocked-dynamic-auto,text,109,74
asmp-053-blocked-dynamic-auto,repeated,4096,48
asmp-053-blocked-dynamic-auto,period257,65536,934
asmp-053-blocked-dynamic-auto,binary,2048,1073
asmp-053-blocked-dynamic-auto,long-repeat,70000,295
asmp-053-blocked-dynamic-auto,high-literals,112,114
asmp-053-blocked-dynamic-auto,randomish,8192,8197
asmp-023-wordextend-public,empty,0,2
asmp-023-wordextend-public,small,24,10
asmp-023-wordextend-public,text,109,83
asmp-023-wordextend-public,repeated,4096,53
asmp-023-wordextend-public,period257,65536,908
asmp-023-wordextend-public,binary,2048,1196
asmp-023-wordextend-public,long-repeat,70000,571
asmp-023-wordextend-public,high-literals,112,128
asmp-023-wordextend-public,randomish,8192,8640
asmp-024-neonextend-public,empty,0,2
asmp-024-neonextend-public,small,24,10
asmp-024-neonextend-public,text,109,83
asmp-024-neonextend-public,repeated,4096,53
asmp-024-neonextend-public,period257,65536,908
asmp-024-neonextend-public,binary,2048,1196
asmp-024-neonextend-public,long-repeat,70000,571
asmp-024-neonextend-public,high-literals,112,128
asmp-024-neonextend-public,randomish,8192,8640
asmp-027-runtime-word-fixed,empty,0,2
asmp-027-runtime-word-fixed,small,24,10
asmp-027-runtime-word-fixed,text,109,83
asmp-027-runtime-word-fixed,repeated,4096,53
asmp-027-runtime-word-fixed,period257,65536,908
asmp-027-runtime-word-fixed,binary,2048,1196
asmp-027-runtime-word-fixed,long-repeat,70000,571
asmp-027-runtime-word-fixed,high-literals,112,128
asmp-027-runtime-word-fixed,randomish,8192,8640
asmp-027-runtime-neon-fixed,empty,0,2
asmp-027-runtime-neon-fixed,small,24,10
asmp-027-runtime-neon-fixed,text,109,83
asmp-027-runtime-neon-fixed,repeated,4096,53
asmp-027-runtime-neon-fixed,period257,65536,908
asmp-027-runtime-neon-fixed,binary,2048,1196
asmp-027-runtime-neon-fixed,long-repeat,70000,571
asmp-027-runtime-neon-fixed,high-literals,112,128
asmp-027-runtime-neon-fixed,randomish,8192,8640
asmp-stored-public,empty,0,5
asmp-stored-public,small,24,29
asmp-stored-public,text,109,114
asmp-stored-public,repeated,4096,4101
asmp-stored-public,period257,65536,65546
asmp-stored-public,binary,2048,2053
asmp-stored-public,long-repeat,70000,70010
asmp-stored-public,high-literals,112,117
asmp-stored-public,randomish,8192,8197
asmp-auto-public,empty,0,2
asmp-auto-public,small,24,10
asmp-auto-public,text,109,83
asmp-auto-public,repeated,4096,53
asmp-auto-public,period257,65536,908
asmp-auto-public,binary,2048,1196
asmp-auto-public,long-repeat,70000,571
asmp-auto-public,high-literals,112,117
asmp-auto-public,randomish,8192,8197
asmp-045-dynamic-lz77-huffman,empty,0,12
asmp-045-dynamic-lz77-huffman,small,24,26
asmp-045-dynamic-lz77-huffman,text,109,74
asmp-045-dynamic-lz77-huffman,repeated,4096,48
asmp-045-dynamic-lz77-huffman,period257,65536,610
asmp-045-dynamic-lz77-huffman,binary,2048,1073
asmp-045-dynamic-lz77-huffman,long-repeat,70000,212
asmp-045-dynamic-lz77-huffman,high-literals,112,114
asmp-045-dynamic-lz77-huffman,randomish,8192,8225
asmp-046-auto-dynamic-probe,empty,0,2
asmp-046-auto-dynamic-probe,small,24,10
asmp-046-auto-dynamic-probe,text,109,74
asmp-046-auto-dynamic-probe,repeated,4096,48
asmp-046-auto-dynamic-probe,period257,65536,610
asmp-046-auto-dynamic-probe,binary,2048,1073
asmp-046-auto-dynamic-probe,long-repeat,70000,212
asmp-046-auto-dynamic-probe,high-literals,112,114
asmp-046-auto-dynamic-probe,randomish,8192,8225
asmp-047-auto-dynamic-cost-probe,empty,0,2
asmp-047-auto-dynamic-cost-probe,small,24,10
asmp-047-auto-dynamic-cost-probe,text,109,74
asmp-047-auto-dynamic-cost-probe,repeated,4096,48
asmp-047-auto-dynamic-cost-probe,period257,65536,610
asmp-047-auto-dynamic-cost-probe,binary,2048,1073
asmp-047-auto-dynamic-cost-probe,long-repeat,70000,212
asmp-047-auto-dynamic-cost-probe,high-literals,112,117
asmp-047-auto-dynamic-cost-probe,randomish,8192,8197
asmp-048-auto-dynamic-size-probe,empty,0,2
asmp-048-auto-dynamic-size-probe,small,24,10
asmp-048-auto-dynamic-size-probe,text,109,74
asmp-048-auto-dynamic-size-probe,repeated,4096,48
asmp-048-auto-dynamic-size-probe,period257,65536,610
asmp-048-auto-dynamic-size-probe,binary,2048,1073
asmp-048-auto-dynamic-size-probe,long-repeat,70000,212
asmp-048-auto-dynamic-size-probe,high-literals,112,114
asmp-048-auto-dynamic-size-probe,randomish,8192,8197
asmp-049-auto-dynamic-prepared-size-probe,empty,0,2
asmp-049-auto-dynamic-prepared-size-probe,small,24,10
asmp-049-auto-dynamic-prepared-size-probe,text,109,74
asmp-049-auto-dynamic-prepared-size-probe,repeated,4096,48
asmp-049-auto-dynamic-prepared-size-probe,period257,65536,610
asmp-049-auto-dynamic-prepared-size-probe,binary,2048,1073
asmp-049-auto-dynamic-prepared-size-probe,long-repeat,70000,212
asmp-049-auto-dynamic-prepared-size-probe,high-literals,112,114
